tapInTime,tapOutTime,tapInStops,tapOutStops,corridorID,corridorName,direction,jenis_kendaraan,durasi_perjalanan
2023-04-03 05:12:53,2023-04-03 05:50:10,B02761P,B01056P,JAK15,Bulak Turi - Tanjung Priok,0.0,Mikrotrans,37
2023-04-03 05:43:45,2023-04-03 06:19:50,B00039P,B00066P,6N,Ragunan - Blok M via Kemang,0.0,Non reguler BRT,36
2023-04-03 06:02:30,2023-04-03 06:30:30,P00102,P00058,M11,Pulo Gebang - Pulo Gadung 2,0.0,Reguler BRT,28
2023-04-03 06:59:14,2023-04-03 07:32:35,B01067P,B04854P,JAK112,Terminal Tanah Merah - Pulo Gadung,0.0,Mikrotrans,33
2023-04-03 05:49:25,2023-04-03 06:39:28,P00064,P00016,9N,Pinang Ranti - Pramuka,0.0,Reguler BRT,50
2023-04-03 05:04:52,2023-04-03 05:47:58,B03675P,B05440P,JAK43B,Tongtek - Tebet Eco Park (TEP) - Cililitan,0.0,Mikrotrans,43
2023-04-03 05:35:17,2023-04-03 05:56:59,B03484P,B03953P,JAK42,Kampung Melayu - Pondok Kelapa,1.0,Mikrotrans,22
2023-04-03 06:35:17,2023-04-03 07:17:52,P00202,P00161,2,Pulo Gadung - Monas,0.0,Reguler BRT,43
2023-04-03 05:51:57,2023-04-03 06:16:13,P00044,P00268,13,Ciledug - Tendean,1.0,Reguler BRT,24
2023-04-03 06:08:12,2023-04-03 06:40:53,B02032P,B01624P,7P,Pondok Kelapa - BKN,1.0,Non reguler BRT,33
2023-04-03 06:36:49,2023-04-03 07:13:58,B02665P,B00636P,JAK02,Kampung Melayu - Duren Sawit,0.0,Mikrotrans,37
2023-04-03 05:13:45,2023-04-03 06:02:58,P00151,P00080,11,Pulo Gebang - Matraman,1.0,Reguler BRT,49
2023-04-03 05:58:04,2023-04-03 06:39:16,B02638P,B01428P,JAK36,Cilangkap - Cililitan,0.0,Mikrotrans,41
2023-04-03 06:33:41,2023-04-03 07:29:36,P00106,P00096,13B,Puri Beta - Pancoran Barat,1.0,Tidak Diketahui,56
2023-04-03 06:51:28,2023-04-03 07:29:33,B02540P,B00959P,1Q,Rempoa - Blok M,1.0,Non reguler BRT,38
2023-04-03 05:37:47,2023-04-03 06:06:12,B01301P,B02767P,JAK06,Kampung Rambutan - Pondok Gede,0.0,Mikrotrans,28
2023-04-03 05:33:47,2023-04-03 06:13:36,B01875P,B01180P,JAK14,Tanah Abang - Meruya,1.0,Mikrotrans,40
2023-04-03 05:43:23,2023-04-03 06:16:38,P00145,P00025,M7,Kampung Rambutan - Monas,0.0,Reguler BRT,33
2023-04-03 05:15:03,2023-04-03 05:51:14,B05351P,B01325P,JAK15,Bulak Turi - Tanjung Priok,0.0,Mikrotrans,36
2023-04-03 05:43:48,2023-04-03 06:09:12,B00589P,B02556P,T21,Palem Semi - Bundaran Senayan,1.0,Tidak Diketahui,25
2023-04-03 06:13:03,2023-04-03 06:50:23,B05324P,P00138,12A,Pelabuhan Kaliadem - Kota,0.0,Non reguler BRT,37
2023-04-03 06:46:54,2023-04-03 07:09:23,B00693P,B02647P,9D,Pasar Minggu - Tanah Abang,0.0,Non reguler BRT,22
2023-04-03 06:20:11,2023-04-03 07:10:56,P00104,P00133,1,Blok M - Kota,1.0,Reguler BRT,51
2023-04-03 06:38:56,2023-04-03 07:03:11,B02760P,B03286P,3A,Rusun Pesakih - Kalideres,1.0,Tidak Diketahui,24
2023-04-03 06:51:56,2023-04-03 07:17:19,B04209P,B03197P,6N,Ragunan - Blok M via Kemang,1.0,Non reguler BRT,25
2023-04-03 06:16:29,2023-04-03 07:11:37,P00170,B03277P,3C,Rusun Kapuk Muara - Penjaringan,1.0,Tidak Diketahui,55
2023-04-03 05:19:06,2023-04-03 05:47:40,P00245,P00184,M8,Lebak Bulus - Pasar Baru,0.0,Reguler BRT,29
2023-04-03 05:02:15,2023-04-03 05:57:31,B02263P,B05622P,B21,Bekasi Timur - Cawang,1.0,Transjabodetabek,55
2023-04-03 06:12:41,2023-04-03 07:12:09,B05253P,B02709P,12A,Pelabuhan Kaliadem - Kota,1.0,Non reguler BRT,59
2023-04-03 05:57:55,2023-04-03 07:12:09,B02408P,B02420P,1T,Cibubur - Balai Kota,0.0,Royal transjakarta,72
2023-04-03 05:12:37,2023-04-03 06:06:48,B03360P,B04218P,JAK71,Kampung Rambutan - Pinang Ranti,0.0,Mikrotrans,54
2023-04-03 05:11:15,2023-04-03 05:35:24,B06877P,B06065P,JAK77,Tanjung Priok - Jembatan Item,0.0,Mikrotrans,24
2023-04-03 06:49:46,2023-04-03 07:21:09,P00237,P00009,M3,Kalideres - Bundaran HI via Veteran,1.0,Reguler BRT,31
2023-04-03 05:50:00,2023-04-03 06:37:49,B04386P,B06832P,JAK44,Andara - Stasiun Universitas Pancasila,0.0,Mikrotrans,48
2023-04-03 06:42:45,2023-04-03 07:08:03,B00292P,B00770P,14,Jakarta International Stadium - Senen,0.0,Non reguler BRT,25
2023-04-03 06:12:01,2023-04-03 06:57:35,B02272P,B01732P,JAK48B,Stasiun Tebet - Kampung Melayu,0.0,Mikrotrans,46
2023-04-03 06:41:08,2023-04-03 07:20:00,B05177P,B03637P,8K,Batusari - Grogol,1.0,Non reguler BRT,39
2023-04-03 05:57:05,2023-04-03 06:49:41,B00563P,B01297P,JAK19,Pinang Ranti - Kampung Rambutan,0.0,Mikrotrans,53
2023-04-03 05:59:19,2023-04-03 06:47:17,P00287,P00105,M10,PGC 2 - Tanjung Priok,1.0,Reguler BRT,48
2023-04-03 06:03:33,2023-04-03 06:28:37,P00036,P00182,10D,Kampung Rambutan - Tanjung Priok,1.0,Reguler BRT,25
2023-04-03 05:42:25,2023-04-03 06:21:13,B00671P,B03786P,JAK75,Cililitan - Kp. Pulo,0.0,Mikrotrans,39
2023-04-03 06:08:56,2023-04-03 06:41:37,B01728P,B00232P,B11,Summarecon Bekasi - BNN,0.0,Transjabodetabek,33
2023-04-03 05:21:39,2023-04-03 06:12:00,B01829P,B05714P,JAK52,Terminal Kalideres - Terminal Muara Angke,0.0,Mikrotrans,50
2023-04-03 05:36:10,2023-04-03 06:25:54,B00908P,B04716P,JAK37,Cililitan - Condet via Kayu Manis,0.0,Mikrotrans,50
2023-04-03 06:07:43,2023-04-03 06:44:41,B03711P,B05388P,JAK31,Blok M - Andara,0.0,Mikrotrans,37
2023-04-03 05:32:18,2023-04-03 06:27:22,P00169,P00174,11M,Rusun Rawa Bebek - Bukit Duri,0.0,Tidak Diketahui,55
2023-04-03 06:23:34,2023-04-03 07:14:33,B06086P,B06268P,JAK43C,Sarana Jaya - Tebet Eco Park (TEP) - Stasiun Cawang,1.0,Mikrotrans,51
2023-04-03 05:13:09,2023-04-03 06:04:38,B06183P,P00191,2F,Rusun Cakung Barat - Pulo Gadung,1.0,Tidak Diketahui,51
2023-04-03 06:23:36,2023-04-03 06:52:14,P00158,P00059,M11,Pulo Gebang - Pulo Gadung 2,1.0,Reguler BRT,29
2023-04-03 06:50:15,2023-04-03 07:46:28,B03206P,B02195P,3B,Rusun Flamboyan - Cengkareng,0.0,Tidak Diketahui,56
2023-04-03 05:57:14,2023-04-03 06:55:59,P00083,B01638P,8C,Kebayoran Lama - Tanah Abang,1.0,Non reguler BRT,59
2023-04-03 05:20:00,2023-04-03 06:04:41,P00014,P00006,M2,Pulo Gadung - Monas,0.0,Reguler BRT,45
2023-04-03 05:43:01,2023-04-03 06:29:21,B05080P,P00123,12B,Pluit - Senen,1.0,Non reguler BRT,46
2023-04-03 05:28:25,2023-04-03 06:08:29,P00109,P00118,5D,PGC 1 - Ancol,0.0,Reguler BRT,40
2023-04-03 06:25:22,2023-04-03 07:11:01,B05716P,P00256,9D,Pasar Minggu - Tanah Abang,1.0,Non reguler BRT,46
2023-04-03 06:23:23,2023-04-03 06:55:01,B04040P,B04863P,JAK117,Tanjung Priok - Tanah Merdeka,0.0,Mikrotrans,32
2023-04-03 06:03:19,2023-04-03 06:35:04,P00087,P00138,3H,Jelambar - Kota,0.0,Reguler BRT,32
2023-04-03 06:00:02,2023-04-03 06:54:13,B04647P,B05725P,14,Jakarta International Stadium - Senen,0.0,Non reguler BRT,54
2023-04-03 05:59:21,2023-04-03 06:53:50,B01790P,B05492P,JAK49,Lebak Bulus - Cipulir,0.0,Mikrotrans,54
2023-04-03 06:37:28,2023-04-03 06:59:54,B00610P,B01377P,7A,Kampung Rambutan - Lebak Bulus,1.0,Non reguler BRT,22
2023-04-03 06:35:53,2023-04-03 07:03:36,B01509P,B02880P,7Q,Blok M - PGC,1.0,Non reguler BRT,28
2023-04-03 06:09:03,2023-04-03 06:40:10,B03553P,B05751P,JAK20,Cawang UKI - Lubang Buaya,0.0,Mikrotrans,31
2023-04-03 06:23:28,2023-04-03 07:02:10,B03697P,B01860P,1M,Meruya - Blok M,0.0,Non reguler BRT,39
2023-04-03 06:36:31,2023-04-03 07:16:53,B06696P,B02213P,JAK118,Taman Waduk Papanggo - Kota Tua,0.0,Mikrotrans,40
2023-04-03 06:27:14,2023-04-03 07:23:47,B04977P,B02576P,JAK36,Cilangkap - Cililitan,1.0,Mikrotrans,57
2023-04-03 06:56:00,2023-04-03 07:27:18,P00253,P00142,5C,PGC - Juanda,0.0,Reguler BRT,31
2023-04-03 06:56:17,2023-04-03 07:53:38,B02835P,B00575P,JAK27,Pulo Gebang - Rorotan,1.0,Mikrotrans,57
2023-04-03 05:55:32,2023-04-03 06:34:50,B03155P,B00232P,B11,Summarecon Bekasi - BNN,0.0,Transjabodetabek,39
2023-04-03 06:09:11,2023-04-03 06:38:14,B02082P,B04109P,6Q,Dukuh Atas - Casablanca via Epicentrum Raya,0.0,Non reguler BRT,29
2023-04-03 06:08:46,2023-04-03 06:48:21,B02319P,B05798P,4E,Rusun Jatinegara Kaum - Pulo Gadung,0.0,Tidak Diketahui,40
2023-04-03 06:37:34,2023-04-03 07:13:31,B04949P,B02692P,JAK13,Tanah Abang - Jembatan Lima,1.0,Mikrotrans,36
2023-04-03 06:55:00,2023-04-03 07:43:33,B04789P,B01745P,JIS3,Harmoni - Jakarta International Stadium,1.0,Non reguler BRT,49
2023-04-03 06:58:49,2023-04-03 07:44:32,B02598P,B05824P,JAK84,Terminal Kampung Melayu - Kapin Raya,0.0,Mikrotrans,46
2023-04-03 06:49:20,2023-04-03 07:39:46,B04344P,B03273P,2H,Rusun Jati Rawasari - Senen,1.0,Tidak Diketahui,50
2023-04-03 05:46:08,2023-04-03 06:44:17,B04088P,B01925P,JAK08,Roxy - Benhil,1.0,Mikrotrans,58
2023-04-03 06:37:27,2023-04-03 07:20:36,B00808P,B02557P,T21,Palem Semi - Bundaran Senayan,1.0,Tidak Diketahui,43
2023-04-03 05:18:27,2023-04-03 05:58:36,B01822P,P00155,8E,Bintaro - Blok M,0.0,Non reguler BRT,40
2023-04-03 06:53:49,2023-04-03 07:24:35,B06443P,B06129P,JAK23,Senen - Pisangan Baru,1.0,Mikrotrans,31
2023-04-03 05:16:17,2023-04-03 05:41:18,P00160,P00065,6M,Stasiun Manggarai - Blok M,0.0,Non reguler BRT,25
2023-04-03 06:03:19,2023-04-03 06:45:59,B02167P,B04983P,JAK22,Dwikora - Penas Kalimalang,1.0,Mikrotrans,43
2023-04-03 06:19:00,2023-04-03 06:53:35,B01056P,B05728P,JAK115,Term. Tj. Priok - Pegangsaan II IGI,1.0,Mikrotrans,35
2023-04-03 05:16:55,2023-04-03 05:41:19,P00031,P00070,5D,PGC 1 - Ancol,0.0,Reguler BRT,24
2023-04-03 06:23:01,2023-04-03 07:20:25,B02443P,B01247P,JAK21,Cililitan - Dwikora,1.0,Mikrotrans,57
2023-04-03 05:22:34,2023-04-03 05:54:42,P00134,P00122,5C,PGC - Juanda,0.0,Reguler BRT,32
2023-04-03 05:10:16,2023-04-03 06:04:39,B00527P,B03600P,JAK26,Rawamangun - Duren Sawit,1.0,Mikrotrans,54
2023-04-03 06:08:43,2023-04-03 07:03:17,P00120,P00124,L13E,Puri Beta - Kuningan (Express),0.0,Reguler BRT,55
2023-04-03 05:40:04,2023-04-03 07:03:17,P00035,P00171,10D,Kampung Rambutan - Tanjung Priok,0.0,Reguler BRT,72
2023-04-03 06:28:09,2023-04-03 06:49:12,B05858P,B03050P,12P,St. LRT Pegangsaan Dua - JIS,1.0,Non reguler BRT,21
2023-04-03 05:18:28,2023-04-03 06:17:08,B04342P,B05326P,JAK64,Lenteng Agung - Aseli,1.0,Mikrotrans,59
2023-04-03 06:27:52,2023-04-03 07:18:37,P00064,P00016,9N,Pinang Ranti - Pramuka,0.0,Reguler BRT,51
2023-04-03 05:28:11,2023-04-03 06:09:57,B00102P,B00360P,1T,Cibubur - Balai Kota,1.0,Royal transjakarta,42
2023-04-03 05:37:23,2023-04-03 06:15:31,B04331P,B05670P,JAK47,Pasar Minggu - Ciganjur via KB Ragunan,1.0,Mikrotrans,38
2023-04-03 05:41:56,2023-04-03 06:26:12,P00218,P00026,1F,Stasiun Palmerah - Bundaran Senayan,0.0,Non reguler BRT,44
2023-04-03 05:34:50,2023-04-03 05:58:34,B05560P,B05622P,B21,Bekasi Timur - Cawang,1.0,Transjabodetabek,24
2023-04-03 06:49:19,2023-04-03 07:20:02,B05405P,B06658P,12C,Rusun Waduk Pluit - Penjaringan,0.0,Tidak Diketahui,31
2023-04-03 06:15:59,2023-04-03 06:51:15,B01745P,P00095,14,Jakarta International Stadium - Senen,1.0,Non reguler BRT,35
2023-04-03 05:52:16,2023-04-03 06:51:25,B03267P,B06150P,2F,Rusun Cakung Barat - Pulo Gadung,1.0,Tidak Diketahui,59
2023-04-03 05:59:53,2023-04-03 06:25:55,P00136,P00200,13C,Puri Beta - Dukuh Atas,0.0,Reguler BRT,26
2023-04-03 05:05:42,2023-04-03 06:05:17,P00012,P00137,1,Blok M - Kota,0.0,Reguler BRT,60
2023-04-03 05:41:21,2023-04-03 06:02:15,B01059P,B01629P,JAK01,Tanjung Priok - Plumpang,1.0,Mikrotrans,21
2023-04-03 06:43:23,2023-04-03 07:18:43,B04584P,B03323P,JAK120,JIS - Terminal Muara Angke,0.0,Mikrotrans,35
2023-04-03 05:23:18,2023-04-03 06:17:21,B05874P,B05259P,4B,Stasiun Manggarai - UI,0.0,Non reguler BRT,54
2023-04-03 05:40:34,2023-04-03 06:11:00,B00248P,P00016,7C,Cibubur - BKN,0.0,Transjabodetabek,30
2023-04-03 05:12:16,2023-04-03 05:35:12,B01639P,B05264P,8C,Kebayoran Lama - Tanah Abang,1.0,Non reguler BRT,23
2023-04-03 06:20:22,2023-04-03 06:47:58,B04097P,B02463P,JAK85,Bintara - Cipinang Indah,1.0,Mikrotrans,28
2023-04-03 05:00:14,2023-04-03 05:33:29,P00224,P00021,5,Matraman Baru - Ancol,0.0,Reguler BRT,33
2023-04-03 05:06:44,2023-04-03 05:39:08,B00922P,B02603P,11N,Rusun Cipinang Muara - Jatinegara,0.0,Tidak Diketahui,32
2023-04-03 06:33:06,2023-04-03 07:24:33,B03278P,B00086P,JAK10,Tanah Abang - Kota,1.0,Mikrotrans,51
2023-04-03 05:14:27,2023-04-03 05:49:04,P00053,P00133,6V,Ragunan - Gelora Bung Karno,0.0,Reguler BRT,35
2023-04-03 06:27:08,2023-04-03 07:15:51,P00076,P00171,12,Tanjung Priok - Pluit,1.0,Reguler BRT,49
2023-04-03 05:32:36,2023-04-03 05:55:04,B02834P,B04977P,JAK36,Cilangkap - Cililitan,1.0,Mikrotrans,22
2023-04-03 06:19:33,2023-04-03 06:58:14,B01901P,B06654P,2E,Rusun Rawa Bebek - Kodamar,1.0,Tidak Diketahui,39
2023-04-03 06:43:13,2023-04-03 07:07:51,B06616P,B05217P,JAK115,Term. Tj. Priok - Pegangsaan II IGI,1.0,Mikrotrans,25
2023-04-03 05:02:59,2023-04-03 05:44:40,B04192P,B01586P,JAK14,Tanah Abang - Meruya,1.0,Mikrotrans,42
2023-04-03 06:32:03,2023-04-03 07:13:15,B02777P,B05244P,JAK20,Cawang UKI - Lubang Buaya,0.0,Mikrotrans,41
2023-04-03 06:11:34,2023-04-03 06:33:09,P00195,P00192,2A,Pulo Gadung - Rawa Buaya via Balai Kota,1.0,Reguler BRT,22
2023-04-03 06:35:50,2023-04-03 07:24:48,B02505P,P00083,JAK07,Tanah Abang - Grogol via Tawakal,1.0,Mikrotrans,49
2023-04-03 06:28:08,2023-04-03 07:00:07,B03590P,B05479P,JAK41,Kampung Melayu - Pulo Gadung,0.0,Mikrotrans,32
2023-04-03 05:13:57,2023-04-03 05:58:35,P00042,P00178,M10,PGC 2 - Tanjung Priok,1.0,Reguler BRT,45
2023-04-03 05:06:27,2023-04-03 05:46:02,B06560P,B03064P,JAK86,Term. Rawamangun - Term. Manggarai,1.0,Mikrotrans,40
2023-04-03 06:15:16,2023-04-03 06:47:07,P00237,P00074,M3,Kalideres - Bundaran HI via Veteran,1.0,Reguler BRT,32
2023-04-03 06:54:07,2023-04-03 07:24:01,P00176,P00097,8A,Jelambar - Juanda,0.0,Tidak Diketahui,30
2023-04-03 06:29:39,2023-04-03 07:16:35,B03626P,B02860P,1E,Pondok Labu - Blok M,0.0,Non reguler BRT,47
2023-04-03 06:43:00,2023-04-03 07:20:34,B01798P,B02760P,3A,Rusun Pesakih - Kalideres,1.0,Tidak Diketahui,38
2023-04-03 05:20:08,2023-04-03 06:08:02,B02114P,B00290P,M7B,BKN - Blok M,1.0,Tidak Diketahui,48
2023-04-03 06:12:55,2023-04-03 06:51:17,P00297,P00178,5D,PGC 1 - Ancol,1.0,Reguler BRT,38
2023-04-03 05:54:09,2023-04-03 06:44:30,B01293P,B01919P,JAK07,Tanah Abang - Grogol via Tawakal,0.0,Mikrotrans,50
2023-04-03 06:35:14,2023-04-03 07:34:08,B01012P,P00045,1M,Meruya - Blok M,0.0,Non reguler BRT,59
2023-04-03 05:47:44,2023-04-03 06:10:01,B06665P,B05200P,2E,Rusun Rawa Bebek - Kodamar,0.0,Tidak Diketahui,22
2023-04-03 05:49:11,2023-04-03 06:36:27,P00090,P00181,9F,Rusun Tambora - Pluit,0.0,Tidak Diketahui,47
2023-04-03 05:35:45,2023-04-03 06:15:43,B02615P,B05581P,11Q,Kampung Melayu - Pulo Gebang via BKT,1.0,Non reguler BRT,40
2023-04-03 06:32:33,2023-04-03 07:20:23,P00269,P00052,M4,Pulo Gadung 2 - Dukuh Atas 2,1.0,Reguler BRT,48
2023-04-03 05:59:55,2023-04-03 06:26:50,B05408P,B05266P,9H,Blok M - Universitas Indonesia,1.0,Non reguler BRT,27
2023-04-03 05:36:19,2023-04-03 06:01:06,P00036,P00153,10D,Kampung Rambutan - Tanjung Priok,0.0,Reguler BRT,25
2023-04-03 06:54:42,2023-04-03 07:28:16,P00053,P00106,13D,Puri Beta - Ragunan,1.0,Reguler BRT,34
2023-04-03 06:04:11,2023-04-03 06:42:52,B01846P,B03752P,5N,Kampung Melayu - Ragunan,1.0,Non reguler BRT,39
2023-04-03 05:49:45,2023-04-03 06:36:45,B01397P,B06650P,JAK49,Lebak Bulus - Cipulir,0.0,Mikrotrans,47
2023-04-03 05:53:21,2023-04-03 06:44:46,P00161,B05550P,JIS3,Harmoni - Jakarta International Stadium,1.0,Non reguler BRT,51
2023-04-03 05:48:15,2023-04-03 06:15:56,B00101P,B02532P,9D,Pasar Minggu - Tanah Abang,0.0,Non reguler BRT,28
2023-04-03 05:07:43,2023-04-03 06:01:36,B01969P,B02476P,1P,Senen - Blok M,1.0,Non reguler BRT,54
2023-04-03 05:29:52,2023-04-03 06:09:52,B05210P,B04790P,6T,Pasar Minggu - Velbak,0.0,Non reguler BRT,40
2023-04-03 06:07:52,2023-04-03 06:40:59,B03289P,B02307P,11P,Rusun Pondok Bambu - Walikota Jakarta Timur,0.0,Tidak Diketahui,33
2023-04-03 06:47:10,2023-04-03 07:46:13,B05423P,B01974P,5F,Kampung Melayu - Tanah Abang,0.0,Non reguler BRT,59
2023-04-03 05:27:06,2023-04-03 06:06:56,B00606P,B01020P,JAK73,Jambore Cibubur - Pasar Rebo,1.0,Mikrotrans,40
2023-04-03 06:27:11,2023-04-03 07:23:37,P00131,P00098,12,Tanjung Priok - Pluit,0.0,Reguler BRT,56
2023-04-03 05:07:15,2023-04-03 06:02:31,B04560P,B05135P,JAK32,Lebak Bulus - Petukangan,1.0,Mikrotrans,55
2023-04-03 06:15:53,2023-04-03 06:02:31,P00050,P00175,3F,Kalideres - Gelora Bung Karno,0.0,Reguler BRT,72
2023-04-03 06:25:19,2023-04-03 06:57:28,B05499P,B02939P,JAK50,Kalideres - Puri Kembangan,0.0,Mikrotrans,32
2023-04-03 05:05:51,2023-04-03 05:55:21,P00018,P00145,7D,Pancoran - Kampung Rambutan,0.0,Non reguler BRT,50
2023-04-03 06:19:00,2023-04-03 06:56:00,B00285P,B06053P,2P,Gondangdia - Senen,1.0,Non reguler BRT,37
2023-04-03 06:52:40,2023-04-03 07:25:02,B03211P,B05577P,JAK29,Tanjung Priok - Sukapura,1.0,Mikrotrans,32
2023-04-03 05:11:54,2023-04-03 05:38:37,B03277P,P00170,3C,Rusun Kapuk Muara - Penjaringan,0.0,Tidak Diketahui,27
2023-04-03 05:24:09,2023-04-03 05:54:13,B05695P,B02320P,JAK48A,Stasiun Tebet - Rusun Karet Tengsin,1.0,Mikrotrans,30
2023-04-03 06:29:45,2023-04-03 07:06:57,P00228,P00048,6V,Ragunan - Gelora Bung Karno,1.0,Reguler BRT,37
2023-04-03 05:33:44,2023-04-03 06:15:07,B02234P,B03795P,JAK06,Kampung Rambutan - Pondok Gede,0.0,Mikrotrans,41
2023-04-03 06:25:37,2023-04-03 07:25:05,B02876P,B04429P,JAK45,Lebak Bulus - Ragunan,1.0,Mikrotrans,59
2023-04-03 06:25:55,2023-04-03 07:21:18,B02636P,B04930P,8K,Batusari - Grogol,1.0,Non reguler BRT,55
2023-04-03 06:18:07,2023-04-03 06:46:47,B02016P,B01380P,JAK42,Kampung Melayu - Pondok Kelapa,1.0,Mikrotrans,29
2023-04-03 05:37:24,2023-04-03 06:46:47,B00080P,B02650P,12B,Pluit - Senen,1.0,Non reguler BRT,72
2023-04-03 06:22:52,2023-04-03 07:14:36,P00016,B00248P,7C,Cibubur - BKN,1.0,Transjabodetabek,52
2023-04-03 05:30:08,2023-04-03 07:14:36,B04368P,B02222P,JAK110A,Rusun Marunda - Terminal Terpadu Pulo Gebang,1.0,Mikrotrans,72
